Geneid,Gene Type,Product Description
AGAP029209,protein coding gene,ionotropic receptor
AGAP029210,protein coding gene,ionotropic receptor
AGAP029211,protein coding gene,unspecified product
AGAP029212,protein coding gene,ionotropic receptor
AGAP029213,protein coding gene,unspecified product
AGAP029214,protein coding gene,unspecified product
AGAP029215,protein coding gene,ionotropic receptor
AGAP029216,protein coding gene,ionotropic receptor
AGAP029217,protein coding gene,ionotropic receptor
AGAP029218,protein coding gene,unspecified product
AGAP029219,protein coding gene,unspecified product
AGAP029220,protein coding gene,ionotropic receptor
AGAP029221,protein coding gene,Male determiner protein Yob [Source:UniProtKB/Swiss-Prot;Acc:P0DP77]
AGAP029222,protein coding gene,ionotropic receptor
AGAP029223,protein coding gene,ionotropic receptor
AGAP029224,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYU3]
AGAP029225,protein coding gene,ionotropic receptor
AGAP029226,protein coding gene,ionotropic receptor
AGAP029227,protein coding gene,ionotropic receptor
AGAP029228,protein coding gene,ionotropic receptor
AGAP029229,protein coding gene,ionotropic receptor
AGAP029230,protein coding gene,ionotropic receptor
AGAP029231,protein coding gene,unspecified product
AGAP029232,protein coding gene,ionotropic receptor
AGAP029233,protein coding gene,ionotropic receptor
AGAP029234,protein coding gene,unspecified product
AGAP029235,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYX2]
AGAP029236,protein coding gene,putative metabotropic glutamate receptor 1
AGAP029237,protein coding gene,FSA_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0L4]
AGAP029238,protein coding gene,BHLH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYX3]
AGAP029239,protein coding gene,Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYX5]
AGAP029240,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ55]
AGAP029241,protein coding gene,unspecified product
AGAP029242,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYW3]
AGAP029243,protein coding gene,unspecified product
AGAP029244,protein coding gene,unspecified product
AGAP029247,protein coding gene,cuticular protein RR-2 family 148
AGAP029248,protein coding gene,cuticular protein RR-2 family 156
AGAP029249,protein coding gene,unspecified product
AGAP029250,protein coding gene,PA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A3F2YYW7]
AGAP029251,protein coding gene,Chitin-binding type-2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ26]
AGAP029252,protein coding gene,unspecified product
AGAP029253,protein coding gene,unspecified product
AGAP029254,protein coding gene,unspecified product
AGAP029255,protein coding gene,unspecified product
AGAP029256,protein coding gene,THAP-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ31]
AGAP029257,protein coding gene,unspecified product
AGAP029258,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZH2]
AGAP029259,protein coding gene,unspecified product
AGAP029260,protein coding gene,unspecified product
AGAP029261,protein coding gene,unspecified product
AGAP029262,protein coding gene,MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0M1]
AGAP029263,protein coding gene,CCHC-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZH6]
AGAP029264,protein coding gene,unspecified product
AGAP029265,protein coding gene,unspecified product
AGAP029266,protein coding gene,unspecified product
AGAP029267,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0M3]
AGAP029268,protein coding gene,unspecified product
AGAP029269,protein coding gene,unspecified product
AGAP029270,protein coding gene,unspecified product
AGAP029271,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ39]
AGAP029272,protein coding gene,Lon N-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0M5]
AGAP029273,protein coding gene,unspecified product
AGAP029274,protein coding gene,unspecified product
AGAP029275,protein coding gene,unspecified product
AGAP029276,protein coding gene,unspecified product
AGAP029277,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0M8]
AGAP029278,protein coding gene,NACHT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZJ4]
AGAP029279,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ79]
AGAP029280,protein coding gene,unspecified product
AGAP029281,protein coding gene,NYD-SP28 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ44]
AGAP029282,protein coding gene,unspecified product
AGAP029283,protein coding gene,unspecified product
AGAP029284,protein coding gene,unspecified product
AGAP029285,protein coding gene,unspecified product
AGAP029286,protein coding gene,CLIP_1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ47]
AGAP029287,protein coding gene,unspecified product
AGAP029288,protein coding gene,unspecified product
AGAP029289,protein coding gene,B30.2/SPRY domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ87]
AGAP029290,protein coding gene,unspecified product
AGAP029291,protein coding gene,unspecified product
AGAP029292,protein coding gene,unspecified product
AGAP029293,protein coding gene,unspecified product
AGAP029294,protein coding gene,MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ92]
AGAP029295,protein coding gene,Metalloendopeptidase [Source:UniProtKB/TrEMBL;Acc:A0A453YZ94]
AGAP029296,protein coding gene,unspecified product
AGAP029297,protein coding gene,unspecified product
AGAP029298,protein coding gene,unspecified product
AGAP029299,protein coding gene,EF-hand_13 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ98]
AGAP029300,protein coding gene,unspecified product
AGAP029301,protein coding gene,unspecified product
AGAP029302,protein coding gene,unspecified product
AGAP029303,protein coding gene,unspecified product
AGAP029304,protein coding gene,unspecified product
AGAP029305,protein coding gene,Lipase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZA4]
AGAP029306,protein coding gene,unspecified product
AGAP029307,protein coding gene,unspecified product
AGAP029308,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZM6]
AGAP029309,protein coding gene,unspecified product
AGAP029310,protein coding gene,unspecified product
AGAP029311,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ64]
AGAP029312,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0N7]
AGAP029313,protein coding gene,unspecified product
AGAP029314,protein coding gene,Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZA8]
AGAP029315,protein coding gene,unspecified product
AGAP029316,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ66]
AGAP029317,protein coding gene,RNase_PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A240PPA3]
AGAP029318,protein coding gene,unspecified product
AGAP029319,protein coding gene,Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZB1]
AGAP029320,protein coding gene,unspecified product
AGAP029321,protein coding gene,DRBM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ69]
AGAP029322,protein coding gene,unspecified product
AGAP029323,protein coding gene,Enhancer of yellow 2 transcription factor [Source:UniProtKB/TrEMBL;Acc:A0A453YZP0]
AGAP029324,protein coding gene,unspecified product
AGAP029325,protein coding gene,Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZB9]
AGAP029326,protein coding gene,Fibrinogen C-terminal domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ72]
AGAP029327,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0P0]
AGAP029328,protein coding gene,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZP4]
AGAP029330,protein coding gene,unspecified product
AGAP029332,protein coding gene,Carbohydrate sulfotransferase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0P1]
AGAP029333,protein coding gene,unspecified product
AGAP029334,protein coding gene,unspecified product
AGAP029335,protein coding gene,CLIP_1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZC5]
AGAP029336,protein coding gene,DDE Tnp4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ77]
AGAP029337,protein coding gene,unspecified product
AGAP029338,protein coding gene,unspecified product
AGAP029339,protein coding gene,unspecified product
AGAP029340,protein coding gene,unspecified product
AGAP029341,protein coding gene,unspecified product
AGAP029342,protein coding gene,unspecified product
AGAP029343,protein coding gene,unspecified product
AGAP029344,protein coding gene,unspecified product
AGAP029345,protein coding gene,unspecified product
AGAP029346,protein coding gene,unspecified product
AGAP029347,protein coding gene,unspecified product
AGAP029348,protein coding gene,unspecified product
AGAP029349,protein coding gene,unspecified product
AGAP029350,protein coding gene,unspecified product
AGAP029351,protein coding gene,BED-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ86]
AGAP029352,protein coding gene,unspecified product
AGAP029353,protein coding gene,DDE Tnp4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZR6]
AGAP029354,protein coding gene,unspecified product
AGAP029355,protein coding gene,unspecified product
AGAP029356,protein coding gene,MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ89]
AGAP029357,protein coding gene,unspecified product
AGAP029358,protein coding gene,unspecified product
AGAP029359,protein coding gene,ZAD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZE1]
AGAP029360,protein coding gene,unspecified product
AGAP029361,protein coding gene,unspecified product
AGAP029362,protein coding gene,DUF4806 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0P7]
AGAP029363,protein coding gene,unspecified product
AGAP029364,protein coding gene,unspecified product
AGAP029365,protein coding gene,unspecified product
AGAP029366,protein coding gene,Retrotrans_gag domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ95]
AGAP029367,protein coding gene,unspecified product
AGAP029368,protein coding gene,unspecified product
AGAP029369,protein coding gene,unspecified product
AGAP029370,protein coding gene,unspecified product
AGAP029371,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZ96]
AGAP029372,protein coding gene,Retrotrans_gag domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0P9]
AGAP029373,protein coding gene,unspecified product
AGAP029374,protein coding gene,unspecified product
AGAP029375,protein coding gene,unspecified product
AGAP029376,protein coding gene,unspecified product
AGAP029377,protein coding gene,unspecified product
AGAP029378,protein coding gene,unspecified product
AGAP029379,protein coding gene,unspecified product
AGAP029380,protein coding gene,unspecified product
AGAP029381,protein coding gene,unspecified product
AGAP029382,protein coding gene,unspecified product
AGAP029383,protein coding gene,PK_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZT9]
AGAP029384,protein coding gene,unspecified product
AGAP029385,protein coding gene,Lipocln_cytosolic_FA-bd_dom domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZH3]
AGAP029386,protein coding gene,unspecified product
AGAP029387,protein coding gene,unspecified product
AGAP029388,protein coding gene,unspecified product
AGAP029389,protein coding gene,unspecified product
AGAP029390,protein coding gene,unspecified product
AGAP029391,protein coding gene,unspecified product
AGAP029392,protein coding gene,unspecified product
AGAP029393,protein coding gene,unspecified product
AGAP029394,protein coding gene,DFRP_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZH5]
AGAP029395,protein coding gene,SVWC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZI2]
AGAP029396,protein coding gene,unspecified product
AGAP029397,protein coding gene,unspecified product
AGAP029398,protein coding gene,unspecified product
AGAP029399,protein coding gene,unspecified product
AGAP029400,protein coding gene,6PGD domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZI6]
AGAP029401,protein coding gene,unspecified product
AGAP029402,protein coding gene,unspecified product
AGAP029403,protein coding gene,unspecified product
AGAP029404,protein coding gene,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZC0]
AGAP029405,protein coding gene,unspecified product
AGAP029406,protein coding gene,unspecified product
AGAP029407,protein coding gene,Peptidase M12B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZI8]
AGAP029408,protein coding gene,unspecified product
AGAP029409,protein coding gene,unspecified product
AGAP029410,protein coding gene,unspecified product
AGAP029411,protein coding gene,unspecified product
AGAP029412,protein coding gene,unspecified product
AGAP029413,protein coding gene,unspecified product
AGAP029414,protein coding gene,unspecified product
AGAP029415,protein coding gene,unspecified product
AGAP029416,protein coding gene,unspecified product
AGAP029417,protein coding gene,unspecified product
AGAP029418,protein coding gene,unspecified product
AGAP029419,protein coding gene,unspecified product
AGAP029420,protein coding gene,unspecified product
AGAP029421,protein coding gene,RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZX1]
AGAP029422,protein coding gene,unspecified product
AGAP029423,protein coding gene,unspecified product
AGAP029424,protein coding gene,G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZE2]
AGAP029425,protein coding gene,THAP-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0R0]
AGAP029426,protein coding gene,unspecified product
AGAP029427,protein coding gene,unspecified product
AGAP029428,protein coding gene,unspecified product
AGAP029429,protein coding gene,unspecified product
AGAP029430,protein coding gene,unspecified product
AGAP029431,protein coding gene,DDE Tnp4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZY0]
AGAP029432,protein coding gene,unspecified product
AGAP029433,protein coding gene,unspecified product
AGAP029434,protein coding gene,DUF4806 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZE8]
AGAP029435,protein coding gene,unspecified product
AGAP029436,protein coding gene,unspecified product
AGAP029437,protein coding gene,THAP-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZL4]
AGAP029438,protein coding gene,unspecified product
AGAP029439,protein coding gene,unspecified product
AGAP029440,protein coding gene,unspecified product
AGAP029441,protein coding gene,unspecified product
AGAP029442,protein coding gene,unspecified product
AGAP029443,protein coding gene,PDZ domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZM7]
AGAP029444,protein coding gene,unspecified product
AGAP029445,protein coding gene,O-acyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0R4]
AGAP029446,protein coding gene,unspecified product
AGAP029447,protein coding gene,unspecified product
AGAP029448,protein coding gene,unspecified product
AGAP029449,protein coding gene,unspecified product
AGAP029450,protein coding gene,unspecified product
AGAP029451,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 3
AGAP029452,protein coding gene,XK-related protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z000]
AGAP029453,protein coding gene,unspecified product
AGAP029454,protein coding gene,unspecified product
AGAP029455,protein coding gene,PIPK domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z004]
AGAP029456,protein coding gene,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZN7]
AGAP029457,protein coding gene,ATP-binding cassette transporter (ABC transporter) family C member 4
AGAP029458,protein coding gene,unspecified product
AGAP029460,protein coding gene,unspecified product
AGAP029461,protein coding gene,unspecified product
AGAP029462,protein coding gene,Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0R9]
AGAP029463,protein coding gene,unspecified product
AGAP029464,protein coding gene,STAS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZP6]
AGAP029465,protein coding gene,unspecified product
AGAP029466,protein coding gene,Repressor of RNA polymerase III transcription MAF1 [Source:UniProtKB/TrEMBL;Acc:A0A453Z0S0]
AGAP029467,protein coding gene,Numb [Source:UniProtKB/TrEMBL;Acc:A0A453YZQ2]
AGAP029468,protein coding gene,MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZR2]
AGAP029469,protein coding gene,Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A453YZQ5]
AGAP029470,protein coding gene,SAM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZR7]
AGAP029472,protein coding gene,unspecified product
AGAP029473,protein coding gene,unspecified product
AGAP029474,protein coding gene,unspecified product
AGAP029475,protein coding gene,unspecified product
AGAP029476,protein coding gene,unspecified product
AGAP029477,protein coding gene,unspecified product
AGAP029478,protein coding gene,methuselah receptor 4
AGAP029479,protein coding gene,MADF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZS6]
AGAP029480,protein coding gene,unspecified product
AGAP029481,protein coding gene,unspecified product
AGAP029482,protein coding gene,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z038]
AGAP029483,protein coding gene,unspecified product
AGAP029484,protein coding gene,DDE_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZT2]
AGAP029486,protein coding gene,unspecified product
AGAP029487,protein coding gene,Phosphodiesterase [Source:UniProtKB/TrEMBL;Acc:Q7PQX7]
AGAP029488,protein coding gene,unspecified product
AGAP029489,protein coding gene,unspecified product
AGAP029490,protein coding gene,DH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZU2]
AGAP029491,protein coding gene,unspecified product
AGAP029492,protein coding gene,unspecified product
AGAP029493,protein coding gene,SCAPER_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZT3]
AGAP029494,protein coding gene,unspecified product
AGAP029495,protein coding gene,unspecified product
AGAP029496,protein coding gene,unspecified product
AGAP029497,protein coding gene,unspecified product
AGAP029498,protein coding gene,putative gonadotrophin releasing hormone receptor 3
AGAP029499,protein coding gene,odorant receptor 21
AGAP029500,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 7
AGAP029501,protein coding gene,unspecified product
AGAP029502,protein coding gene,Nitric oxide synthase [Source:UniProtKB/TrEMBL;Acc:A0A453YZV7]
AGAP029503,protein coding gene,HMG box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZN4]
AGAP029504,protein coding gene,unspecified product
AGAP029505,protein coding gene,WAS protein family [Source:UniProtKB/TrEMBL;Acc:A0A453YZU7]
AGAP029506,protein coding gene,unspecified product
AGAP029507,protein coding gene,unspecified product
AGAP029508,protein coding gene,unspecified product
AGAP029509,protein coding gene,unspecified product
AGAP029510,protein coding gene,unspecified product
AGAP029511,protein coding gene,Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0T2]
AGAP029512,protein coding gene,unspecified product
AGAP029513,protein coding gene,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZX6]
AGAP029514,protein coding gene,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZP8]
AGAP029515,protein coding gene,Peptidase M12B domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0T3]
AGAP029516,protein coding gene,unspecified product
AGAP029517,protein coding gene,unspecified product
AGAP029518,protein coding gene,unspecified product
AGAP029519,protein coding gene,unspecified product
AGAP029520,protein coding gene,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZY6]
AGAP029521,protein coding gene,unspecified product
AGAP029522,protein coding gene,BRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z089]
AGAP029523,protein coding gene,Cyclic nucleotide-binding domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZR4]
AGAP029524,protein coding gene,unspecified product
AGAP029525,protein coding gene,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZX4]
AGAP029526,protein coding gene,unspecified product
AGAP029527,protein coding gene,HECT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0T7]
AGAP029528,protein coding gene,unspecified product
AGAP029529,protein coding gene,PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZX9]
AGAP029530,protein coding gene,unspecified product
AGAP029531,protein coding gene,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0T8]
AGAP029532,protein coding gene,Nuclear receptor-binding protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZY2]
AGAP029533,protein coding gene,unspecified product
AGAP029534,protein coding gene,unspecified product
AGAP029535,protein coding gene,unspecified product
AGAP029536,protein coding gene,G_PROTEIN_RECEP_F3_4 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0A5]
AGAP029537,protein coding gene,Kinase [Source:UniProtKB/TrEMBL;Acc:A0A453YZY7]
AGAP029538,protein coding gene,Protein kinase C [Source:UniProtKB/TrEMBL;Acc:A0A453Z0U0]
AGAP029539,protein coding gene,unspecified product
AGAP029540,protein coding gene,Angiomotin_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z015]
AGAP029541,protein coding gene,RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0U1]
AGAP029542,protein coding gene,CUB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0B2]
AGAP029543,protein coding gene,unspecified product
AGAP029544,protein coding gene,unspecified product
AGAP029545,protein coding gene,PPM-type phosphatase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZU8]
AGAP029546,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0B6]
AGAP029547,protein coding gene,unspecified product
AGAP029548,protein coding gene,unspecified product
AGAP029549,protein coding gene,TAFH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0U3]
AGAP029550,protein coding gene,unspecified product
AGAP029551,protein coding gene,unspecified product
AGAP029552,protein coding gene,spaetzle-like cytokine 2
AGAP029553,protein coding gene,unspecified product
AGAP029554,protein coding gene,unspecified product
AGAP029555,protein coding gene,Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A453Z036]
AGAP029556,protein coding gene,unspecified product
AGAP029557,protein coding gene,unspecified product
AGAP029558,protein coding gene,Protein Wnt [Source:UniProtKB/TrEMBL;Acc:A0A453Z016]
AGAP029559,protein coding gene,C-type lectin (CTL) - mannose binding
AGAP029560,protein coding gene,unspecified product
AGAP029561,protein coding gene,unspecified product
AGAP029562,protein coding gene,unspecified product
AGAP029563,protein coding gene,unspecified product
AGAP029564,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZX7]
AGAP029565,protein coding gene,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0E1]
AGAP029566,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z028]
AGAP029567,protein coding gene,unspecified product
AGAP029568,protein coding gene,unspecified product
AGAP029569,protein coding gene,Tetraspanin [Source:UniProtKB/TrEMBL;Acc:Q7QHT0]
AGAP029570,protein coding gene,Rap-GAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZY8]
AGAP029571,protein coding gene,unspecified product
AGAP029572,protein coding gene,AP-1 complex subunit gamma [Source:UniProtKB/TrEMBL;Acc:A0A453Z0F0]
AGAP029573,protein coding gene,unspecified product
AGAP029574,protein coding gene,unspecified product
AGAP029575,protein coding gene,unspecified product
AGAP029576,protein coding gene,unspecified product
AGAP029577,protein coding gene,ATP_bind_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0F6]
AGAP029578,protein coding gene,unspecified product
AGAP029579,protein coding gene,unspecified product
AGAP029580,protein coding gene,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453YZZ9]
AGAP029581,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0G1]
AGAP029582,protein coding gene,unspecified product
AGAP029583,protein coding gene,unspecified product
AGAP029584,protein coding gene,unspecified product
AGAP029586,protein coding gene,Peptidase_M13_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z012]
AGAP029587,protein coding gene,Methyltransferase-like protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0V4]
AGAP029588,protein coding gene,unspecified product
AGAP029589,protein coding gene,unspecified product
AGAP029590,protein coding gene,unspecified product
AGAP029591,protein coding gene,Transporter [Source:UniProtKB/TrEMBL;Acc:A0A453Z0H2]
AGAP029592,protein coding gene,unspecified product
AGAP029593,protein coding gene,unspecified product
AGAP029594,protein coding gene,unspecified product
AGAP029595,protein coding gene,Aldo_ket_red domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0H5]
AGAP029596,protein coding gene,Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A453Z061]
AGAP029597,protein coding gene,unspecified product
AGAP029598,protein coding gene,THAP-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z026]
AGAP029599,protein coding gene,Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0V7]
AGAP029600,protein coding gene,unspecified product
AGAP029601,protein coding gene,unspecified product
AGAP029602,protein coding gene,unspecified product
AGAP029603,protein coding gene,unspecified product
AGAP029604,protein coding gene,unspecified product
AGAP029605,protein coding gene,unspecified product
AGAP029606,protein coding gene,unspecified product
AGAP029607,protein coding gene,Lipase_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0V9]
AGAP029608,protein coding gene,C2H2-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0I5]
AGAP029609,protein coding gene,unspecified product
AGAP029610,protein coding gene,unspecified product
AGAP029611,protein coding gene,unspecified product
AGAP029612,protein coding gene,unspecified product
AGAP029613,protein coding gene,unspecified product
AGAP029614,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0W1]
AGAP029615,protein coding gene,unspecified product
AGAP029616,protein coding gene,RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z082]
AGAP029617,protein coding gene,unspecified product
AGAP029618,protein coding gene,putative GPCR class a orphan receptor 16
AGAP029619,protein coding gene,unspecified product
AGAP029620,protein coding gene,SMB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0J4]
AGAP029621,protein coding gene,Tetraspanin [Source:UniProtKB/TrEMBL;Acc:Q5TQJ1]
AGAP029622,protein coding gene,unspecified product
AGAP029623,protein coding gene,Sulfotransfer_1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z056]
AGAP029624,protein coding gene,suppressor of cytokine signaling
AGAP029625,protein coding gene,MADS-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z090]
AGAP029626,protein coding gene,Guanylate cyclase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0C3]
AGAP029627,protein coding gene,DOMON domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z062]
AGAP029628,protein coding gene,Myosin-light-chain kinase [Source:UniProtKB/TrEMBL;Acc:A0A453Z0J8]
AGAP029629,protein coding gene,unspecified product
AGAP029630,protein coding gene,Sec16_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z0C6]
AGAP029631,protein coding gene,unspecified product
AGAP029632,protein coding gene,putative GPCR class d orphan receptor 1
AGAP029633,protein coding gene,hexokinase
AGAP029634,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A453Z072]
AGAP029635,protein coding gene,unspecified product
AGAP029636,protein coding gene,unspecified product
AGAP029637,protein coding gene,unspecified product
